repository_owner,repository_name,file_url,candidate_instruction_count,final_not_to_do_count,final_not_to_do_pct_of_file,has_final_not_to_do,first_sentence_index,last_sentence_index
logancyang,obsidian-copilot,https://github.com/logancyang/obsidian-copilot/blob/master/AGENTS.md,168,9,5.357143,1,1,157
luccahuguet,yazelix,https://github.com/luccahuguet/yazelix/blob/main/AGENTS.md,247,51,20.647773,1,1,64
maplibre,maputnik,https://github.com/maplibre/maputnik/blob/main/AGENTS.md,9,0,0.000000,0,1,9
marin-community,marin,https://github.com/marin-community/marin/blob/main/AGENTS.md,107,31,28.971963,1,1,71
mark3labs,mcp-go,https://github.com/mark3labs/mcp-go/blob/main/AGENTS.md,19,1,5.263158,1,1,14
mbrt,gmailctl,https://github.com/mbrt/gmailctl/blob/master/AGENTS.md,73,1,1.369863,1,1,2
metacraft-labs,codetracer,https://github.com/metacraft-labs/codetracer/blob/main/AGENTS.md,73,1,1.369863,1,1,17
microsoft,mcp-dotnet-samples,https://github.com/microsoft/mcp-dotnet-samples/blob/main/AGENTS.md,101,2,1.980198,1,1,66
microsoft,mcp-for-beginners,https://github.com/microsoft/mcp-for-beginners/blob/main/AGENTS.md,126,8,6.349206,1,1,30
mixpanel,mixpanel-android,https://github.com/mixpanel/mixpanel-android/blob/master/AGENTS.md,75,9,12.000000,1,1,65
modal-labs,modal-client,https://github.com/modal-labs/modal-client/blob/main/AGENTS.md,33,1,3.030303,1,1,26
modelcontextprotocol,inspector,https://github.com/modelcontextprotocol/inspector/blob/main/AGENTS.md,25,1,4.000000,1,1,12
msgbyte,tianji,https://github.com/msgbyte/tianji/blob/master/AGENTS.md,12,1,8.333333,1,1,5
mvilanova,intervals-mcp-server,https://github.com/mvilanova/intervals-mcp-server/blob/main/AGENTS.md,16,0,0.000000,0,1,15
nornagon,cdda-guide,https://github.com/nornagon/cdda-guide/blob/main/AGENTS.md,38,0,0.000000,0,1,28
ohcnetwork,care_fe,https://github.com/ohcnetwork/care_fe/blob/master/AGENTS.md,15,0,0.000000,0,1,12
openai,openai-agents-python,https://github.com/openai/openai-agents-python/blob/main/AGENTS.md,116,6,5.172414,1,1,17
owid,etl,https://github.com/owid/etl/blob/master/AGENTS.md,69,11,15.942029,1,1,12
pgdogdev,pgdog,https://github.com/pgdogdev/pgdog/blob/main/AGENTS.md,16,0,0.000000,0,1,8
Pipelex,pipelex,https://github.com/Pipelex/pipelex/blob/main/AGENTS.md,190,35,18.421053,1,1,49
PrairieLearn,PrairieLearn,https://github.com/PrairieLearn/PrairieLearn/blob/master/AGENTS.md,180,27,15.000000,1,1,167
pranaygp,vscode-css-peek,https://github.com/pranaygp/vscode-css-peek/blob/master/AGENTS.md,9,0,0.000000,0,2,1
proximafusion,vmecpp,https://github.com/proximafusion/vmecpp/blob/main/AGENTS.md,110,5,4.545455,1,1,92
public-ui,kolibri,https://github.com/public-ui/kolibri/blob/master/AGENTS.md,152,26,17.105263,1,1,56
pulumi,docs,https://github.com/pulumi/docs/blob/master/AGENTS.md,89,11,12.359551,1,1,17
python-cachier,cachier,https://github.com/python-cachier/cachier/blob/master/AGENTS.md,198,13,6.565657,1,1,111
pytorch,pytorch,https://github.com/pytorch/pytorch/blob/main/AGENTS.md,137,13,9.489051,1,3,137
rainbow-me,rainbowkit,https://github.com/rainbow-me/rainbowkit/blob/main/AGENTS.md,91,2,2.197802,1,1,39
Rello,analytics,https://github.com/Rello/analytics/blob/master/AGENTS.md,28,5,17.857143,1,1,28
Rello,audioplayer,https://github.com/Rello/audioplayer/blob/master/AGENTS.md,16,4,25.000000,1,1,15
robinkarlberg,transfer.zip-web,https://github.com/robinkarlberg/transfer.zip-web/blob/main/AGENTS.md,6,0,0.000000,0,1,4
